Page Id	URL	Name	Subject	Section Header	Section Index	PageViews		Name Override	Subject Re-mapping	Section Re-mapping	Omit	miles_work
page-2302	Quintet	Quintet	musicians	notable quintets	12	15664			other			
page-2302	Quintet	Quintet	musicians	notable quintets	12	15664			other			
page-2302	Quintet	Quintet	musicians	notable quintets	12	15664			other			
page-1650	List_of_Miami_Vice_guest_appearances	List of Miami Vice guest appearances	other	season 2	6	15644			other			
page-1086	German_horn	German horn	genres	notable horn players	82	15636			other			
page-660	Culture_of_Pittsburgh	Culture of Pittsburgh	genres	music	55	15431			other			
page-657	Cu%C3%ADca	Cuíca	genres	in popular music	19	14660			other			
page-657	Cu%C3%ADca	Cuíca	genres	in popular music	19	14660			other			
page-894	Extended_technique	Extended technique	genres	notable performers	62	14255			other			
page-1361	Jazz_improvisation	Jazz improvisation	genres	first paragraph	0	13717			other			
page-1361	Jazz_improvisation	Jazz improvisation	genres	first paragraph	0	13717			other			
page-1361	Jazz_improvisation	Jazz improvisation	genres	first paragraph	0	13717			other			
page-1617	List_of_Capitol_Records_artists	List of Capitol Records artists	musicians	d	13	13595			other			
page-1674	List_of_pre-1920_jazz_standards	List of pre-1920 jazz standards	genres	19151917	19	13472			other			
page-1639	List_of_Ibanez_players	List of Ibanez players	musicians	qz	14	13081			other			
page-1643	List_of_jazz_contrafacts	List of jazz contrafacts	genres	first paragraph	0	12874			other			
page-1643	List_of_jazz_contrafacts	List of jazz contrafacts	genres	first paragraph	0	12874			other			
page-1643	List_of_jazz_contrafacts	List of jazz contrafacts	genres	first paragraph	0	12874			other			
page-1643	List_of_jazz_contrafacts	List of jazz contrafacts	genres	first paragraph	0	12874			other			
page-1643	List_of_jazz_contrafacts	List of jazz contrafacts	genres	first paragraph	0	12874			other			
page-1643	List_of_jazz_contrafacts	List of jazz contrafacts	genres	first paragraph	0	12874			other			
page-1643	List_of_jazz_contrafacts	List of jazz contrafacts	genres	first paragraph	0	12874			other			
page-1643	List_of_jazz_contrafacts	List of jazz contrafacts	genres	first paragraph	0	12874			other			
page-1695	List_of_trumpeters	List of trumpeters	musicians	jazz and commercial players	4	12747			other			
page-1982	Music_of_Illinois	Music of Illinois	musicians	jazz	13	12494			other			
page-1982	Music_of_Illinois	Music of Illinois	musicians	rock and roll	23	12494			other			
page-2545	Sonor	Sonor	companies	endorsers	18	12191			other			
page-1670	List_of_people_on_the_postage_stamps_of_the_United_States	List of people on the postage stamps of the United States	places	d	58	11565			other			
page-651	Cross-beat	Cross-beat	genres	jazz	90	11385			other			
page-3111	UK_Music_Hall_of_Fame	UK Music Hall of Fame	events	2004 inductees	11	11195			other			
page-1681	List_of_Saturday_Night_Live_guests_(A%E2%80%93D)	List of Saturday Night Live guests (A–D)	other	d	14	10912			other			
page-625	Contrafact	Contrafact	genres	examples	11	10689			other			
page-1251	Impulse!_Records	Impulse! Records	musicians	history	15	10672			other			
page-1251	Impulse!_Records	Impulse! Records	musicians	history	15	10672			other			
page-2277	Prince_of_Darkness	Prince of Darkness	other	music	16	10604			other			
page-2277	Prince_of_Darkness	Prince of Darkness	other	people	4	10604			other			
page-1673	List_of_post-1950_jazz_standards	List of post-1950 jazz standards	works	195054	11	10221			other			
page-1673	List_of_post-1950_jazz_standards	List of post-1950 jazz standards	works	195054	12	10221			other			
page-1673	List_of_post-1950_jazz_standards	List of post-1950 jazz standards	works	195054	12	10221			other			
page-1673	List_of_post-1950_jazz_standards	List of post-1950 jazz standards	works	195559	14	10221			other			
page-1673	List_of_post-1950_jazz_standards	List of post-1950 jazz standards	works	195559	14	10221			other			
page-1673	List_of_post-1950_jazz_standards	List of post-1950 jazz standards	works	195559	14	10221			other			
page-1673	List_of_post-1950_jazz_standards	List of post-1950 jazz standards	works	195559	14	10221			other			
page-1673	List_of_post-1950_jazz_standards	List of post-1950 jazz standards	works	195559	14	10221			other			
page-1673	List_of_post-1950_jazz_standards	List of post-1950 jazz standards	works	196064	16	10221			other			
