Page Id	URL	Name	EntityType	PageViews	subject	miles_work
2567	Spin_(magazine)	Spin (magazine)	periodical literature	39615	films	
1080	George_Kennedy	George Kennedy	agent	235474	musicians	
263	Automatic_Man	Automatic Man	Band	4806	musicians	
469	Bruce_Hornsby	Bruce Hornsby	musical artist	151755	musicians	
1651	List_of_minor_planets_named_after_people	List of minor planets named after people	Thing	8393	other	
637	Cornell_Dupree	Cornell Dupree	musical artist	9327	musicians	
1059	Gary_Bartz	Gary Bartz	musical artist	12578	musicians	
1530	Kim_Salmon_and_the_Surrealists	Kim Salmon and the Surrealists	Band	1869	musicians	
164	Al_Jarreau	Al Jarreau	musical artist	90490	musicians	
234	Art_Pepper	Art Pepper	musical artist	30480	musicians	
3770	Walter_Bishop,_Jr.	Walter Bishop, Jr.	agent	3972	musicians	
2067	Nomeansno	Nomeansno	Band	22869	musicians	
765	Don_Alias	Don Alias	musical artist	7894	musicians	
1809	Marilyn_Mazur	Marilyn Mazur	musical artist	3921	musicians	
3019	Thomas_Clausen_(musician)	Thomas Clausen (musician)	musical artist	1356	musicians	
2320	Ray_Draper	Ray Draper	musical artist	2710	musicians	
2329	Red_Garland	Red Garland	musical artist	22162	musicians	
521	Cecil_McBee	Cecil McBee	musical artist	6798	musicians	
482	Butch_Warren	Butch Warren	agent	3485	musicians	
2592	Steve_Davis_(trombonist)	Steve Davis (trombonist)	agent	2836	musicians	
1862	Michael_Brecker	Michael Brecker	musical artist	40583	musicians	
1325	Jaki_Byard	Jaki Byard	musical artist	7171	musicians	
3987	Woody_Shaw	Woody Shaw	musical artist	14467	musicians	
415	Bo_Stief	Bo Stief	musical artist	1287	musicians	
239	Art_Taylor	Art Taylor	musical artist	8377	musicians	
2565	Speedball_(drug)	Speedball (drug)	Agent114778436	177400	other	
3031	Tim_Hagans	Tim Hagans	agent	2326	musicians	
3791	Webster_Young	Webster Young	musical artist	1191	musicians	
786	Down_Beat	Down Beat	periodical literature	17947	other	
334	Betty_Davis	Betty Davis	musical artist	55182	musicians	
1770	Lydian_mode	Lydian mode	Manner104928903	41118	other	
2046	Newport_Jazz_Festival	Newport Jazz Festival	populated place	22406	events	
148	After_the_Gold_Rush	After the Gold Rush	album	81026	recording	
2120	Osibisa	Osibisa	Band	28605	musicians	
766	Don_Byron	Don Byron	musical artist	5227	musicians	
